epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1379.01,1.41966,1.34448,0.00748,0.82112,0.74287,0.83859,0.54455,1.27888,0.88311,0.00937,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,2581.94,1.3593,1.05828,0.00697,0.82323,0.73751,0.8387,0.53807,1.30712,0.88805,0.0098,0.0197914,0.00659715,0.0197914,0.00659715,0.0197914,0.00659715,0.0197914,0.00659715
3,3708.66,1.3938,1.09762,0.00718,0.81077,0.71915,0.81864,0.51437,1.35163,0.95596,0.0102,0.0293956,0.00979852,0.0293956,0.00979852,0.0293956,0.00979852,0.0293956,0.00979852
4,4773.37,1.41064,1.11592,0.00734,0.81002,0.73137,0.82486,0.52083,1.34328,0.94416,0.01015,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5830.27,1.39227,1.08784,0.00711,0.82403,0.74057,0.83647,0.53806,1.31156,0.89721,0.00977,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6888.36,1.36145,1.05826,0.00705,0.82859,0.74439,0.84197,0.54522,1.29873,0.87511,0.00949,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7936.18,1.36079,1.03909,0.00692,0.83348,0.75246,0.8492,0.55432,1.27787,0.85324,0.00927,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1026.93,1.33984,1.01691,0.00676,0.83316,0.74556,0.84597,0.54928,1.28069,0.87579,0.00942,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2170.01,1.32873,1.00355,0.00665,0.83554,0.75609,0.85288,0.55874,1.27277,0.83641,0.00914,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3190.33,1.323,0.99156,0.00653,0.83542,0.75941,0.85572,0.56441,1.25741,0.83863,0.00897,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4158.85,1.31317,0.97696,0.00649,0.83614,0.76103,0.85805,0.56657,1.25732,0.83376,0.00896,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5119.56,1.3005,0.96641,0.00659,0.84649,0.76091,0.86227,0.57456,1.23987,0.80713,0.00884,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6072.95,1.30604,0.96449,0.00652,0.84536,0.76949,0.8645,0.57456,1.24222,0.80724,0.00883,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7022.67,1.29702,0.95147,0.00634,0.84653,0.77544,0.8702,0.58167,1.23458,0.78593,0.00878,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7967.67,1.29216,0.94153,0.00641,0.84579,0.76984,0.86752,0.58292,1.23283,0.78607,0.0087,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
